ambiguity_type,resolution,resolution_note,player_id,db_name,db_matches,db_intl_matches,db_club_matches,db_last_match,db_team_type,db_teams,db_reg_name_count,sheet_player_id,sheet_batting_name,sheet_country,sheet_major_teams,sheet_dob,sheet_intl_innings,sheet_club_t20_innings,sheet_playercard_url
C_exact_unique_evidence_failed,,,869b2e17,KS Dhariwal,7,0,7,2026-07-01 00:00:00,/club,Gloucestershire,1.0,1434990,KS Dhariwal,England,Hampshire 2nd XI,2005-03-08T00:00Z,0,5,https://www.espncricinfo.com/ci/content/player/1434990.html
C_exact_unique_evidence_failed,,,3370303b,MYB Naeem,7,0,7,2026-07-01 00:00:00,/club,Derbyshire,1.0,1337997,MYB Naeem,England,Derbyshire 2nd XI,2006-07-25T00:00Z,0,2,https://www.espncricinfo.com/ci/content/player/1337997.html
A_db_name_collision,,,92cf79a8,SR Taylor,290,170,120,2026-06-30 00:00:00,international/club,Southern Vipers|Trailblazers|Tornadoes|West Indies|Jamaica,2.0,348133,SR Taylor,United States of America,United States of America|Americas Under-15s|Barbados Royals|Guyana Amazon Warriors|ICC Americas|World XI|Jamaica|Jamaica Tallawahs|MI New York|Montreal Tigers|Rangpur Riders|Seattle Orcas|South East Region|United States of America Under-15s|United States of America Under-19s,1993-11-09T00:00Z,145,107,https://www.espncricinfo.com/ci/content/player/348133.html
B_sheet_name_country_collision,,,9679838c,BL D'Oliveira,332,0,332,2026-06-28 00:00:00,/club,Birmingham Phoenix|Worcestershire,,471202,BL D'Oliveira,England,Birmingham Phoenix (Men)|Worcestershire|Worcestershire 2nd XI|Worcestershire Under-13s|Worcestershire Under-14s|Worcestershire Under-15s|Worcestershire Under-17s,1992-02-28T00:00Z,0,281,https://www.espncricinfo.com/ci/content/player/471202.html
B_sheet_name_country_collision,,,9679838c,BL D'Oliveira,332,0,332,2026-06-28 00:00:00,/club,Birmingham Phoenix|Worcestershire,,11914,BL D'Oliveira,England,England|Worcestershire,1931-10-04T00:00Z,8,0,https://www.espncricinfo.com/ci/content/player/11914.html
D_female_db_vs_male_sheet,,,c64b7c5b,BF Smith,214,11,203,2026-06-28 00:00:00,international/club,Central Districts|Welsh Fire|Trent Rockets|Surrey|England,1.0,20227,BF Smith,England,Central Districts|Leicestershire|Worcestershire,1972-04-03T00:00Z,0,50,https://www.espncricinfo.com/ci/content/player/20227.html
A_db_name_collision,,,ebf683f9,M Kelly,147,0,147,2026-06-28 00:00:00,/club,Birmingham Phoenix|Northern Superchargers|Southern Vipers|Loughborough Lightning|Trent Rockets,2.0,638912,M Kelly,Australia,Australia Under-19s|Perth Scorchers|Western Australia,1994-12-07T00:00Z,0,83,https://www.espncricinfo.com/ci/content/player/638912.html
C_exact_unique_evidence_failed,,,c5f40e35,SW Currie,122,3,119,2026-06-28 00:00:00,international/club,Scotland|Dubai Capitals|Leicestershire|Hampshire|Manchester Originals,1.0,1104697,SW Currie,England,Scotland|Dubai Capitals|England Lions|England Under-19s|Hampshire|Manchester Super Giants (Men),2001-05-02T00:00Z,6,141,https://www.espncricinfo.com/ci/content/player/1104697.html
A_db_name_collision,,,f3b26fe4,Kashif Ali,102,0,102,2026-06-28 00:00:00,/club,Worcestershire,2.0,1095900,Kashif Ali,England,Bedfordshire|Essex 2nd XI|Kent 2nd XI|Leicestershire 2nd XI|Marylebone Cricket Club|Marylebone Cricket Club Young Cricketers|Northamptonshire 2nd XI|Nottinghamshire 2nd XI|Worcestershire|Worcestershire 2nd XI,1998-02-07T00:00Z,0,40,https://www.espncricinfo.com/ci/content/player/1095900.html
A_db_name_collision,,,f3b26fe4,Kashif Ali,102,0,102,2026-06-28 00:00:00,/club,Worcestershire,2.0,1171129,Kashif Ali,Pakistan,Karachi Region Blues|Pakistan Under-16s|Sindh 2nd XI,2002-10-04T00:00Z,0,7,https://www.espncricinfo.com/ci/content/player/1171129.html
A_db_name_collision,,,f3b26fe4,Kashif Ali,102,0,102,2026-06-28 00:00:00,/club,Worcestershire,2.0,1282247,Kashif Ali,Pakistan,Pakistan|Northern (Pakistan)|Northern 2nd XI (Pakistan)|Peshawar Zalmi|Rawalpindi|Rawalpindi Region,1994-06-06T00:00Z,0,30,https://www.espncricinfo.com/ci/content/player/1282247.html
B_sheet_name_country_collision,,,f3b26fe4,Kashif Ali,102,0,102,2026-06-28 00:00:00,/club,Worcestershire,,1282247,Kashif Ali,Pakistan,Pakistan|Northern (Pakistan)|Northern 2nd XI (Pakistan)|Peshawar Zalmi|Rawalpindi|Rawalpindi Region,1994-06-06T00:00Z,0,30,https://www.espncricinfo.com/ci/content/player/1282247.html
B_sheet_name_country_collision,,,f3b26fe4,Kashif Ali,102,0,102,2026-06-28 00:00:00,/club,Worcestershire,,1171129,Kashif Ali,Pakistan,Karachi Region Blues|Pakistan Under-16s|Sindh 2nd XI,2002-10-04T00:00Z,0,7,https://www.espncricinfo.com/ci/content/player/1171129.html
A_db_name_collision,,,486065b3,Hassan Khan,86,0,86,2026-06-28 00:00:00,/club,San Francisco Unicorns|Antigua and Barbuda Falcons|Hyderabad Kingsmen|Guyana Amazon Warriors|Melbourne Renegades,2.0,959789,Hassan Khan,United States of America,Abu Dhabi Knight Riders|Antigua and Barbuda Falcons|Edmonton Royals|Guyana Amazon Warriors|Hyderabad Kingsmen|Lahore Qalandars|Melbourne Renegades|Pakistan Under-19s|Quetta Gladiators|San Francisco Unicorns,1998-10-16T00:00Z,0,218,https://www.espncricinfo.com/ci/content/player/959789.html
A_db_name_collision,,,486065b3,Hassan Khan,86,0,86,2026-06-28 00:00:00,/club,San Francisco Unicorns|Antigua and Barbuda Falcons|Hyderabad Kingsmen|Guyana Amazon Warriors|Melbourne Renegades,2.0,1492928,Hassan Khan,Germany,Germany,2002-04-21T00:00Z,6,6,https://www.espncricinfo.com/ci/content/player/1492928.html
C_exact_unique_evidence_failed,,,c15fb753,W Luxton,70,0,70,2026-06-28 00:00:00,/club,Yorkshire,1.0,1263698,W Luxton,England,England Under-19s|Yorkshire 2nd XI,2003-05-06T00:00Z,0,19,https://www.espncricinfo.com/ci/content/player/1263698.html
A_db_name_collision,,,4cf60e73,E Jones,58,0,58,2026-06-28 00:00:00,/club,South East Stars|The Blaze|Trent Rockets|Surrey,3.0,605681,E Jones,South Africa,Durban's Super Giants|Joburg Super Kings|Lions|Northerns Under-17s|Paarl Royals|Waterkloof High School,1996-08-05T00:00Z,0,115,https://www.espncricinfo.com/ci/content/player/605681.html
C_exact_unique_evidence_failed,,,353de846,FW McCann,49,0,49,2026-06-28 00:00:00,/club,Nottinghamshire,1.0,1318252,FW McCann,England,Birmingham Phoenix (Men)|Nottinghamshire 2nd XI,2005-04-19T00:00Z,0,11,https://www.espncricinfo.com/ci/content/player/1318252.html
B_sheet_name_country_collision,,,a86a37ab,Mohammad Ali,47,8,39,2026-06-28 00:00:00,international/club,Peshawar Zalmi|Nottinghamshire|Hyderabad Kingsmen|Multan Sultans|Pakistan,,1524763,Mohammad Ali,Pakistan,Dera Murad Jamali Region,,0,1,https://www.espncricinfo.com/ci/content/player/1524763.html
B_sheet_name_country_collision,,,a86a37ab,Mohammad Ali,47,8,39,2026-06-28 00:00:00,international/club,Peshawar Zalmi|Nottinghamshire|Hyderabad Kingsmen|Multan Sultans|Pakistan,,1158175,Mohammad Ali,Pakistan,Pakistan|B-Love Kandy|Central Punjab (Pakistan)|Faisalabad Region|Fortune Barishal|Hyderabad Kingsmen|Kandy Falcons|Multan Sultans|Pakistan A|Peshawar Zalmi|Sialkot Region|Sui Northern Gas Pipelines Limited|Agriculture Development Bank of Pakistan,1992-11-01T00:00Z,8,107,https://www.espncricinfo.com/ci/content/player/1158175.html
B_sheet_name_country_collision,,,a86a37ab,Mohammad Ali,47,8,39,2026-06-28 00:00:00,international/club,Peshawar Zalmi|Nottinghamshire|Hyderabad Kingsmen|Multan Sultans|Pakistan,,406132,Mohammad Ali,Pakistan,Quetta,1975-05-05T00:00Z,0,2,https://www.espncricinfo.com/ci/content/player/406132.html
B_sheet_name_country_collision,,,a86a37ab,Mohammad Ali,47,8,39,2026-06-28 00:00:00,international/club,Peshawar Zalmi|Nottinghamshire|Hyderabad Kingsmen|Multan Sultans|Pakistan,,316380,Mohammad Ali,Pakistan,Pakistan Television|Sialkot Stallions|Sialkot Stallions|State Bank of Pakistan,1989-08-12T00:00Z,0,14,https://www.espncricinfo.com/ci/content/player/316380.html
B_sheet_name_country_collision,,,a86a37ab,Mohammad Ali,47,8,39,2026-06-28 00:00:00,international/club,Peshawar Zalmi|Nottinghamshire|Hyderabad Kingsmen|Multan Sultans|Pakistan,,41558,Mohammad Ali,Pakistan,Multan|Pakistan Customs|Rest of Punjab,1982-12-22T00:00Z,0,11,https://www.espncricinfo.com/ci/content/player/41558.html
A_db_name_collision,,,92af1c38,GJ Thompson,36,0,36,2026-06-28 00:00:00,/club,Durham,2.0,24616,GJ Thompson,Ireland,Ireland|Durham Marylebone Cricket Club University|Ireland Under-19s|Lancashire 2nd XI,1987-09-17T00:00Z,16,26,https://www.espncricinfo.com/ci/content/player/24616.html
B_sheet_name_country_collision,,,80b2fb19,Prince Yadav,23,1,22,2026-06-28 00:00:00,international/club,India|Lucknow Super Giants|Delhi,,1453947,Prince Yadav,India,Arunachal Pradesh,2001-05-11T00:00Z,0,3,https://www.espncricinfo.com/ci/content/player/1453947.html
B_sheet_name_country_collision,,,80b2fb19,Prince Yadav,23,1,22,2026-06-28 00:00:00,international/club,India|Lucknow Super Giants|Delhi,,1350768,Prince Yadav,India,Delhi|Lucknow Super Giants,2001-12-12T00:00Z,0,58,https://www.espncricinfo.com/ci/content/player/1350768.html
