resolution,resolution_note,player_id,db_name,db_matches,db_intl_matches,db_club_matches,db_last_match,db_team_type,db_teams,sheet_player_id,sheet_batting_name,sheet_country,sheet_major_teams,sheet_dob,sheet_intl_innings,sheet_club_t20_innings,sheet_playercard_url
,,c1e22b12,RO Kirtley,2,0,2,2026-07-26,club,Sussex,,,,,,,,
,,c31a3282,KK Tetik,1,1,0,2026-07-27,international,Turkey,,,,,,,,
,,c5376f3d,R Bangera,2,2,0,2026-07-28,international,Israel,,,,,,,,
,,c5d1fba7,A Zeb,1,0,1,2026-07-21,club,Essex,,,,,,,,
,,cdd9fa95,Shahab Alam,25,10,15,2026-06-07,international/club,Kathmandu Gorkhas|Nepal|Kathmandu Gurkhas,1090597,Shahab Alam,Nepal,Nepal|Rupandehi Challengers,1999-04-28T00:00Z,16,16,https://www.espncricinfo.com/ci/content/player/1090597.html
,,cef754a9,OS Williams,3,0,3,2026-07-26,club,Hampshire,,,,,,,,
,,d3347684,Nazmus Sakib,3,3,0,2026-07-26,international,Romania,1428733,Nazmus Sakib,Malaysia,Malaysia,1999-09-01T00:00Z,4,4,https://www.espncricinfo.com/ci/content/player/1428733.html
,,dcb488c7,FFW Price,2,0,2,2026-07-26,club,Sussex,,,,,,,,
,,eac07ab5,NP Oosthuizen,1,0,1,2026-07-24,club,Sussex,,,,,,,,
,,ef65ab50,CR Nicholls,3,0,3,2026-07-26,club,Glamorgan,,,,,,,,
,,f1aa94c3,JE Marks,3,3,0,2026-07-28,international,Israel,,,,,,,,
,,f2756a51,AA Wagh,4,4,0,2026-07-28,international,Austria,,,,,,,,
,,f476d2a5,Asad Ali,6,6,0,2013-08-24,international,Pakistan,222728,Asad Ali,Pakistan,Pakistan|Faisalabad|Faisalabad|Punjab Stallions|Sui Northern Gas Pipelines Limited,1988-10-14T00:00Z,12,114,https://www.espncricinfo.com/ci/content/player/222728.html
,,f6b2e610,MJ Massawe,5,5,0,2026-07-28,international,Tanzania,,,,,,,,
,,fa21c431,Laura-Anette Taei,2,2,0,2026-07-25,international,Estonia,,,,,,,,
,,fc218d8d,CPH O'Riordan,1,0,1,2026-07-26,club,Glamorgan,,,,,,,,
,,26c257be,Harper Chalmers,1,1,0,2026-07-29,international,Canada,,,,,,,,
,,39f5fc80,JDC Johnson,1,0,1,2026-07-29,club,Sussex,,,,,,,,
,,4c257434,J Andujar,1,1,0,2026-07-29,international,Argentina,,,,,,,,
,,5a7d223a,A Doherty,1,0,1,2026-07-29,club,North-West Warriors,,,,,,,,
,,5c8f43ab,Shreya Voya,1,1,0,2026-07-29,international,Canada,,,,,,,,
,,8292d2e4,Khadeeja Fatima,1,1,0,2026-07-29,international,Canada,,,,,,,,
,,a3586afb,H Santhoshkumar,1,1,0,2026-07-29,international,Canada,,,,,,,,
,,aaec928b,Snigdha Malhotra,1,1,0,2026-07-29,international,Canada,,,,,,,,
,,d2db7b61,AC Dei Castelli,1,1,0,2026-07-29,international,Argentina,,,,,,,,
,,dd3cfda4,Hussnain Afzal,1,1,0,2026-07-29,international,France,,,,,,,,
,,e65b1ea6,Sanjana Rao,1,1,0,2026-07-29,international,Canada,,,,,,,,
