value,count
Unknown,9013
Bowler,1995
Allrounder,979
Wicketkeeper batter,487
Batter,474
Top-order batter,459
Middle-order batter,432
Opening batter,413
Bowling allrounder,240
Batting allrounder,217
Wicketkeeper,149
